model,tqe,v,gain,pv_r,sigma,dr,tdw,tts
PN2209-4006,26,1025,0.5,2.69,39.34,1.7,22.43,2.33
PN2209-4006,,1090,0.8,2.98,35.35,2.41,23.78,2.14
PN2209-4006,,1130,1.07,3.17,35.97,3.72,25.12,2.14
PN2209-4008,27.9,1125,0.51,3.06,36.81,2.14,28.48,2.1
PN2209-4008,,1200,0.8,3.2,34.99,3.74,28.28,2.08
PN2209-4008,,1245,1,3.23,33.27,6.05,27.91,1.97
PN2209-4010,27.86,1045,0.5,2.95,31.41,0.53,23.71,1.89
PN2209-4010,,1115,0.81,3.34,32.58,1.02,24.15,1.82
PN2209-4010,,1150,1,2.67,33.92,1.02,23.5,1.75
PN2209-4009,25.12,1035,0.52,3.45,27.64,0.53,24.34,2.02
PN2209-4009,,1095,0.8,3.35,28.52,0.61,24.25,1.81
PN2209-4009,,1130,1,3.65,29.09,0.89,24.89,1.88
PN2209-4017,25.9,1035,0.52,3.41,31.55,0.551,23.77,1.91
PN2209-4017,,1095,0.8,3.95,29.68,0.612,24.61,1.78
PN2209-4017,,1135,1.04,3.77,31.19,0.673,25.18,1.7