fname,chisqr,charge[pC],sigma[pC],N_PE,sigma[NPE]
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az000Pol00.xml,2.565000148470836e-07,115.52229231739324,14.53530023065546,1.776140235994927e-10,2.2347835265424778e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az000Pol15.xml,4.573863940227568e-07,103.16249770512547,13.708114655866844,1.5861099995868077e-10,2.1076048190788058e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az000Pol30.xml,3.2622723503888506e-07,107.57678625846357,14.077549106363852,1.6539791126003757e-10,2.1644048858821563e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az000Pol40.xml,4.695993807942804e-07,90.60303937093572,13.054442674211217,1.3930099593939796e-10,2.007103601134545e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az000Pol50.xml,5.021762478331505e-07,87.11486701191012,13.176256502079584,1.3393797625491246e-10,2.0258323189116414e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az000Pol60.xml,5.09818673519818e-07,87.71173349559716,14.008091689216384,1.3485565071923207e-10,2.153725898233179e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az000Pol70.xml,4.576942963037886e-06,22.406255460227683,5.20406625616214,3.4449326673289676e-11,8.001184258842302e-12
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az030Pol60.xml,3.058975180610371e-07,106.79370681959014,15.818173249804804,1.641939367963539e-10,2.4320235865581826e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az090Pol00.xml,3.559345868618863e-07,100.71702189009542,13.735133052208539,1.5485111266411967e-10,2.1117588624146754e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az090Pol15.xml,2.7860736195540254e-07,112.29860181075756,14.410696157173478,1.7265764132697054e-10,2.2156258121273097e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az090Pol30.xml,2.7163464688543845e-07,113.81193178745677,14.568013928696885,1.7498436650531779e-10,2.2398132151154784e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az090Pol40.xml,2.1175156641196998e-07,117.23278770825908,14.869542710582484,1.802438880405944e-10,2.2861728735912753e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az090Pol50.xml,4.3103341335019313e-07,99.07505533536875,14.119182457907458,1.5232661041827137e-10,2.1708059595929127e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az090Pol60.xml,2.8419397942514525e-07,101.72256080399124,14.763063457155084,1.5639711568050905e-10,2.2698018267121583e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az090Pol70.xml,8.336800305502695e-07,55.01023956539513,8.463220001307244,8.457752865167791e-11,1.301209079984263e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az120Pol00.xml,2.8817331341457257e-07,112.82017518524162,14.349696504124251,1.7345955361408093e-10,2.2062471947203086e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az120Pol15.xml,2.654707396086543e-07,114.53751153219353,14.485740494389614,1.760999359362889e-10,2.2271637814784496e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az120Pol30.xml,2.703951670054544e-07,124.49150145749944,15.136669643982462,1.9140406612654663e-10,2.3272432925564815e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az120Pol40.xml,1.6052004533628303e-07,128.79354100889,15.644114899157264,1.980183960457218e-10,2.4052623412786457e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az120Pol50.xml,1.5476183930570511e-07,131.45535934957,16.08357362523879,2.021109071627983e-10,2.4728285494792207e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az120Pol60.xml,1.0155822697140697e-07,123.82948002232585,15.821121209827599,1.9038621677079426e-10,2.4324768315817664e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az120Pol70.xml,4.912903053047492e-06,23.083664238622593,4.699903574803585,3.549083386933604e-11,7.226040686216714e-12
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az150Pol00.xml,2.6066510305819883e-07,115.34282418177567,14.489820292006938,1.7733809367258855e-10,2.227791045061736e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az150Pol15.xml,2.763070544927651e-07,119.32941939648356,14.832487353729046,1.8346743202229288e-10,2.2804756606165084e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az150Pol30.xml,2.485829120075645e-07,129.2527945123798,15.50103826790611,1.9872449234082366e-10,2.3832644951055802e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az150Pol40.xml,1.6125114404706474e-07,137.7537106585617,16.26202147461638,2.1179454047367157e-10,2.5002646744857685e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az150Pol50.xml,7.484870595034128e-08,157.81290285546504,17.79864077200233,2.42635287872095e-10,2.7365178951191443e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az150Pol60.xml,6.181544403921585e-08,161.62615712518644,18.005479228009772,2.484981167708875e-10,2.7683190390106227e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az150Pol70.xml,1.1640756030042416e-05,12.089939424913684,3.8686679403021613,1.858812479615026e-11,5.94802669738898e-12
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az150Pol61.xml,4.324503002038824e-07,93.93250880508872,13.006401546079019,1.44420011938723e-10,1.9997173400981255e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol00.xml,2.21619737565279e-07,120.66623666452602,14.983778377546152,1.855227712042921e-10,2.3037364589746424e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol15.xml,2.0804666779950177e-07,123.35152229136,15.213963308272794,1.896513629689489e-10,2.3391270930230058e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol30.xml,2.1975077059369834e-07,130.61171549683104,15.665341940487272,2.0081381569963504e-10,2.4085259713054605e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol40.xml,1.6129470191328825e-07,131.63610670463245,16.0307105446515,2.0238880387297966e-10,2.4647009195173985e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol50.xml,7.38417894840442e-08,160.06749048202101,18.18081224563182,2.4610168705685166e-10,2.795276262681473e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol60.xml,7.694759367561065e-07,71.33483749476153,10.94097505949781,1.0967638588273515e-10,1.6821607011398636e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol70.xml,1.0272669491314901e-05,12.515113447633537,3.901826689413205,1.9241824332320954e-11,5.999007843356527e-12
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol51.xml,8.220688692613177e-08,157.43409746309166,17.8818184577342,2.420528795026716e-10,2.7493063562379236e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol00.xml,2.733918200680754e-07,113.1981974437918,14.353490554346722,1.7404075792542541e-10,2.206830525012872e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol15.xml,2.7722584775993707e-07,116.15790902889222,14.50807019313845,1.785912760356393e-10,2.2305969436508626e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol30.xml,2.2699839974400174e-07,131.39515417530077,15.483171683904423,2.0201834248953092e-10,2.3805175310271677e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol40.xml,1.74689016754165e-07,132.29723492551332,15.656647801608653,2.0340527992336137e-10,2.407189258748094e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol50.xml,1.7453240521947744e-07,134.5492033380853,16.322826695798135,2.068676521006459e-10,2.5096133982457477e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol60.xml,3.5301691567510326e-07,105.04165092427762,14.133975839733058,1.6150017361960972e-10,2.1730804228293846e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol70.xml,1.2898322561784655e-05,11.788268527676781,3.634242061626073,1.8124309710885992e-11,5.587599954530471e-12
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol00.xml,2.737462072574264e-07,112.63603398152122,14.28557991023776,1.7317643890568012e-10,2.1963893517090333e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol15.xml,2.4209388950484947e-07,120.00350334282699,14.800683585759645,1.8450382733225555e-10,2.275585872609922e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol30.xml,3.23083805594655e-07,112.10733811516418,14.244908061010252,1.7236357587984877e-10,2.1901361077302158e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol40.xml,3.848814495351998e-07,101.11907551036562,13.404540983234863,1.554692648818989e-10,2.0609307613074273e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol50.xml,6.031725993937973e-07,79.50696601417776,11.592259298637963,1.2224092731096253e-10,1.7822948067744695e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol60.xml,6.128921406628939e-07,74.38660866391137,11.748446374244807,1.1436844440740848e-10,1.80630836673444e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol70.xml,3.835468050895177e-06,28.889690531537138,5.3035650629526385,4.44175238641617e-11,8.154162381617558e-12
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az330Pol60.xml,3.629136869851507e-07,101.7310882393335,14.861829388813419,1.564102265015613e-10,2.284986960390248e-11
